X,Y,date
724766.4,4416935.7,2015-01-15 08:59:58
725294.9,4416684.4,2015-01-15 09:59:58
725271.7,4416842,2015-01-15 10:59:58
725295.3,4417006.4,2015-01-15 11:59:58
724993.9,4416727.4,2015-01-15 12:59:58
724857.2,4416984.4,2015-01-15 13:59:58
724933,4417291.6,2015-01-15 14:59:58
725045.8,4417481.4,2015-01-15 15:59:58
725573.2,4416947.4,2015-01-15 16:59:58
726078.4,4416963.4,2015-01-15 17:59:58
725791.3,4417011.6,2015-01-15 18:59:58
725803.4,4416830.1,2015-01-15 19:59:58
725243.7,4416336.2,2015-01-15 20:59:58
725120.1,4416279.8,2015-01-15 21:59:58
725100.6,4416532.6,2015-01-15 22:59:58
725211.2,4416721,2015-01-15 23:59:58
725241.6,4416711.5,2015-01-16 00:59:58
725084.2,4416277.1,2015-01-16 01:59:58
725265,4416940.2,2015-01-16 02:59:58
725235.3,4417067,2015-01-16 03:59:58
725534.1,4417252.9,2015-01-16 04:59:58
725208.8,4420990.2,2015-01-16 05:59:58
725291.3,4421010,2015-01-16 06:59:58
725004.6,4421230,2015-01-16 07:59:58
725409.1,4420423.7,2015-01-16 08:59:58
725352.3,4420622.6,2015-01-16 09:59:58
724660,4422095,2015-01-16 10:59:58
724782.6,4423276,2015-01-16 11:59:58
724987.4,4423759.8,2015-01-16 12:59:58
725073.7,4423702,2015-01-16 13:59:58
725698.4,4423426.8,2015-01-16 14:59:58
725212.3,4420993.6,2015-01-16 15:59:58
725451.2,4420016.6,2015-01-16 16:59:58
725374.9,4420421.4,2015-01-16 17:59:58
725333.1,4420746.1,2015-01-16 18:59:58
725336.5,4420812.5,2015-01-16 19:59:58
725117.9,4421025.1,2015-01-16 20:59:58
725241.1,4420998.9,2015-01-16 21:59:58
725366.9,4420798.7,2015-01-16 22:59:58
725235.1,4420851.3,2015-01-16 23:59:58
725576.1,4420325.5,2015-01-17 00:59:58
725435.5,4419727.6,2015-01-17 01:59:58
725422.8,4419957.8,2015-01-17 02:59:58
